environment_biome	environment_biome_hl	environment_biome_hl2
A1_3h	unclassified	unclassified
A1_6h	unclassified	unclassified
B1_3h	unclassified	unclassified
B1_6h	unclassified	unclassified
C1_3h	unclassified	unclassified
C1_6h	unclassified	unclassified
D1_3h	unclassified	unclassified
D1_6h	unclassified	unclassified
P1_B3	unclassified	unclassified
P1_B6	unclassified	unclassified
P2_B3	unclassified	unclassified
P2_B6	unclassified	unclassified
P3_B3	unclassified	unclassified
P3_B6	unclassified	unclassified
G_A1_3h	unclassified	unclassified
G_B1_3h	unclassified	unclassified
G_C1_3h	unclassified	unclassified
G_D1_3h	unclassified	unclassified
G_P1_B3	unclassified	unclassified
G_P2_B3	unclassified	unclassified
G_P3_B3	unclassified	unclassified
RHIZOSPHERE	terrestrial_probable	unclassified
Marine rocky intertidal	marine_and_terrestrial	unclassified
euxinic lake	terrestrial	freshwater
Temperate Deciduous forest	terrestrial	land
Tropical Savanna	terrestrial	unclassified
Human Blood	terrestrial	unclassified
Mezquital Valley field soil	terrestrial_probable	land
other organisms	unclassified	unclassified
Food Product	unclassified	unclassified
land plants	terrestrial_probable	land
human airway	terrestrial_probable	land
Lab culture	unclassified	unclassified
alpine meadow soil	terrestrial	land
wastewater anammox reactor	terrestrial_probable	other_terrestrial_water
aquatic bacteria	unclassified	unclassified
{activated sludge of wastewater treatment system}	terrestrial_probable	other_terrestrial_water
freshwater (Great Lakes)	terrestrial	freshwater
sponge	unclassified	unclassified
Cold seeps	marine	unclassified
Large freshwater lake in Eastern North America	terrestrial	freshwater
Tobacco leaf scraps wastes	terrestrial	unclassified
Tobacco plant stems wastes	terrestrial	unclassified
domestic wastewater	terrestrial_probable	other_terrestrial_water
domestic water	unclassified	other_terrestrial_water
Dental Caries	unclassified	unclassified
Dental Plaque	unclassified	unclassified
Straw Fermentation	terrestrial	unclassified
Rep1PHY499WRF	unclassified	unclassified
Rep1CG3787B2RF	unclassified	unclassified
Rep2CG3787B2RF	unclassified	unclassified
Rep2PHY499WRF	unclassified	unclassified
Rep3CG3787B2RF	unclassified	unclassified
Rep3PHY499WRF	unclassified	unclassified
biochemical reactor	terrestrial_probable	land
anaerobic full-scale reactor	terrestrial_probable	land
activated sludge of wastewater treatment system	terrestrial_probable	other_terrestrial_water
sandy sea bed	marine	unclassified
enrichment reactor	terrestrial_probable	land
Human gastric	terrestrial_probable	unclassified
mixed-coniferous, montane forest	terrestrial	land
Lowlands	terrestrial	unclassified
Highlands	terrestrial	unclassified
Arctic Marine Coast	marine_and_terrestrial	unclassified
tephritid fruit fly	unclassified	unclassified
Moist broadleaf forests	terrestrial	land
Hard feces from rabbits	unclassified	unclassified
Pacific coast	marine_and_terrestrial	unclassified
Calcium Carbonate Cave	unclassified	unclassified
soil aquifer treatment system	terrestrial_probable	land
Diptera intestine	unclassified	unclassified
crop fields	terrestrial	land
Solid state anaerobic digester	terrestrial_probable	land
Porcine nasal microbiota	unclassified	unclassified
Southern NSW	unclassified	unclassified
Fermented soybean bricks	terrestrial	land
Thermophilic anaerobic sludge/bacteria	unclassified	unclassified
Mesophilic anaerobic sludge/bacteria	unclassified	unclassified
Thermophilic anaerobic sludge/archaea	unclassified	unclassified
Mesophilic anaerobic sludge/archaea	unclassified	unclassified
Thermophilic anaerobic sludge/fungi	unclassified	unclassified
Mesophilic anaerobic sludge/fungi	unclassified	unclassified
tropical tephritid fruit fly	unclassified	unclassified
Broadleaf and mixed forests	terrestrial	land
mouse body	terrestrial_probable	land
Rice	terrestrial	unclassified
SCB	unclassified	unclassified
Zoo	terrestrial	unclassified
not available	unclassified	unclassified
Dry broadleaf forests	terrestrial	land
landfill leachate	terrestrial_probable	land
TCE contaminated Soil	terrestrial_probable	unclassified
MSU enrichment culture	unclassified	unclassified
bacteria and archaea	unclassified	unclassified
deep Mediterranean	unclassified	unclassified
deep Mediterranean Thetis halocline	unclassified	unclassified
Fresh water	terrestrial	freshwater
Arid soil	terrestrial	unclassified
british countryside	unclassified	unclassified
fish gut microbiome	unclassified	unclassified
Freshwater biofilm	terrestrial	freshwater
paddy soil	terrestrial	land
Ixodes persulcatus tick	unclassified	unclassified
flowering plant	unclassified	unclassified
temperate Decidious forest	terrestrial	land
Different biomes	unclassified	unclassified
plant pathogen	unclassified	unclassified
Rhinopithecus bieti	unclassified	unclassified
Human lung	terrestrial_probable	unclassified
temperate flooded field	unclassified	unclassified
Drinking water distribution system	terrestrial	other_terrestrial_water
Southern Alberta	unclassified	unclassified
rat blood	terrestrial	land
Antarctic coastal -associated	marine_and_terrestrial	unclassified
Organic field	unclassified	unclassified
Conventional field	unclassified	unclassified
Forest steppe	terrestrial	land
proteobacteria	unclassified	unclassified
anaerobic hydrolytic digesters	terrestrial_probable	land
colonic tissue microbiome	unclassified	unclassified
cecal tissue microbiome	unclassified	unclassified
Molecular Ecology Sample-W1_6	unclassified	unclassified
Molecular Ecology Sample-X1_6	unclassified	unclassified
Molecular Ecology Sample-W1_3	unclassified	unclassified
Molecular Ecology Sample-X1_3	unclassified	unclassified
ascidian	unclassified	unclassified
spruce forest	terrestrial	land
thermophilic anaerobic hydrolytic digester	terrestrial_probable	land
coastal saline1	marine_and_terrestrial	unclassified
coastal saline2	marine_and_terrestrial	unclassified
coastal saline 3	marine_and_terrestrial	unclassified
The marine bathyal zone biome comprises regions of the marine benthic biome between approximately 200 m and 3000 m depth. This zone generally coincides with the continental slope.	marine	unclassified
Village	terrestrial	unclassified
bacterium	unclassified	unclassified
artificial soil	terrestrial_probable	land
faecal virome	unclassified	unclassified
Teosinte field	unclassified	unclassified
permafrost hypersaline spring	terrestrial	land
water from coastal marshes	marine_and_terrestrial	other_terrestrial_water
environmental	unclassified	unclassified
Antarctic Peninsula associated	unclassified	unclassified
microbes	unclassified	unclassified
enriched culture in Triptone casein soja medium	unclassified	unclassified
Anode biofilm	unclassified	unclassified
Coral reef	marine	unclassified
Cattle	terrestrial	unclassified
birch root-associated fungi	unclassified	unclassified
Sandstone aquifer	terrestrial_probable	unclassified
eutrophic pond	terrestrial	freshwater
marine benthos	marine	unclassified
basin	unclassified	unclassified
birch root	unclassified	unclassified
deep marine sediments	marine	unclassified
Root endophytic microbes of Taxus chinensis (Pilger) Rehd.	unclassified	unclassified
Buffalo	terrestrial	unclassified
mangrove soil	marine_and_terrestrial	unclassified
Epilimnion, DNA	unclassified	unclassified
Epilimnion, RNA	unclassified	unclassified
Hypolimnion, DNA	unclassified	unclassified
Hypolimnion, RNA	unclassified	unclassified
Atmosphere, DNA	unclassified	unclassified
Groundwater, DNA	terrestrial	other_terrestrial_water
Inlet, DNA	unclassified	unclassified
Re-supensionDown, DNA	unclassified	unclassified
Chinese fermented vinegar	terrestrial	land
Hydrothermal plume	unclassified	unclassified
CF lung	unclassified	unclassified
chaparral	unclassified	unclassified
industrial sludge	unclassified	unclassified
rumen, reticulum, omasum	terrestrial	land
industrial	unclassified	unclassified
Beach Sand	marine_and_terrestrial	unclassified
West Antarctic Ice Sheet-Whillans Ice Stream	terrestrial	land
human_stool	terrestrial_probable	land
deep-sea coral community	marine	unclassified
annual grassland	terrestrial	land
rice soil	terrestrial	land
cecal and tracheal	unclassified	unclassified
Annual grassland	terrestrial	land
Bovine rumen	terrestrial	land
Parasite	unclassified	unclassified
cold seeps	marine	unclassified
Polar	unclassified	unclassified
hydrothermal plume/deep ocean	marine	unclassified
coastal ecosystem	marine_and_terrestrial	unclassified
Ammonia oxidizing archaea	unclassified	unclassified
Saline Desert	terrestrial	unclassified
Coastal mudflat	marine_and_terrestrial	unclassified
Gammaproteobacteria	unclassified	unclassified
Antarctic	unclassified	unclassified
polar	unclassified	unclassified
coastal seawater	marine_and_terrestrial	unclassified
Fragaria sp.	unclassified	unclassified
biogas batch	unclassified	unclassified
cattle excrements	terrestrial	land
Sewage	unclassified	unclassified
River water	terrestrial	freshwater
river/reservoir	terrestrial	freshwater
Sediment sample	unclassified	unclassified
Deep-sea mussels	marine	unclassified
microbio	unclassified	unclassified
halophilic	unclassified	unclassified
mouse fecal	terrestrial_probable	land
mixture of contaminated soil and water	terrestrial_probable	unclassified
terrestrial cropland	terrestrial	land
natural river	terrestrial	freshwater
Saline soil	terrestrial_probable	land
Synthetic mixture of yeast species	unclassified	unclassified
lake water	terrestrial	freshwater
human fecal	terrestrial_probable	land
flooded areas	unclassified	unclassified
Synthetic mixture of 18 yeast/bacteria/archaeal species	unclassified	unclassified
Tropics	unclassified	unclassified
marine, soil	marine	unclassified
carbon-fixing bacteria	unclassified	unclassified
glacial	unclassified	unclassified
Arctic permafrost	terrestrial	land
Zoig wetland-associated	terrestrial	land
acidic hot spring	unclassified	unclassified
Arctic sea ice	marine	unclassified
Arctic ocean	marine	unclassified
lab grown	unclassified	unclassified
domestic	unclassified	unclassified
soil,plant-associated habitat	terrestrial_probable	land
Coastal marine sediment	marine_and_terrestrial	unclassified
mammal	unclassified	unclassified
clay - saline marsh	terrestrial	land
Tailing Pond	terrestrial	unclassified
oilsands	unclassified	unclassified
COMPOST	terrestrial	unclassified
human gut stool	terrestrial_probable	land
Cow Rumen	terrestrial	unclassified
roe deer	terrestrial	land
Subsurface aquifer	terrestrial_probable	unclassified
isolated variant of cultured strain	unclassified	unclassified
lignocellulosic_biomass	unclassified	unclassified
Oceanic Upper Euphotic Zone	marine	unclassified
Oceanic Mesopelagic Zone	marine	unclassified
soils, plant nodule	terrestrial_probable	land
SPR-1-A	unclassified	unclassified
SPR-2-J	unclassified	unclassified
SPR-3-A	unclassified	unclassified
oligotrophic ocean	marine	unclassified
Oligotrophic ocean	marine	unclassified
fermented food	terrestrial	land
deep brine pool subseafloor sediment	marine_and_terrestrial	unclassified
deep brine influenced site subseafloor sediment	marine_and_terrestrial	unclassified
basaltic crust	unclassified	unclassified
Shaanxi	unclassified	unclassified
Artificial wetland used as cropland	terrestrial	land
Azov sea biome	marine	unclassified
Subsurface iron rich mine	terrestrial_probable	land
intestinal microbiome	unclassified	unclassified
anaerobic reactors	terrestrial_probable	land
USA	unclassified	unclassified
Mexico	unclassified	unclassified
South Africa	unclassified	unclassified
Guyana	unclassified	unclassified
Nicaragua	unclassified	unclassified
Honduras	unclassified	unclassified
Australia	unclassified	unclassified
Peru	unclassified	unclassified
tundra soil	terrestrial	land
Rhizosphere soil	terrestrial_probable	land
cyanobacterial blooms	unclassified	unclassified
compost waste	terrestrial	land
Coal cutting	unclassified	unclassified
Wastewater from Decanter in subsurface Constructed wetland fuel cell	terrestrial	other_terrestrial_water
Graphite (anode) in closed circuit in subsurface constructed wetland treating wastewater from Decanter.	terrestrial	other_terrestrial_water
Graphite (anode) in closed circuit in subsurface contructed wetland fuel cell treating wastewater from Decanter	terrestrial	other_terrestrial_water
Subsurface Constructed Wetland	terrestrial	other_terrestrial_water
oil reservoir	terrestrial	unclassified
soil microbial community	terrestrial_probable	land
E. coli	unclassified	unclassified
stream bed(ENVO:00000383)	terrestrial	freshwater
SPR-4-A	unclassified	unclassified
MG1655-WT-1	unclassified	unclassified
CLI-1-F	unclassified	unclassified
CLI-1-FR	unclassified	unclassified
CLI-2-1	unclassified	unclassified
CLI-3-H	unclassified	unclassified
CLI-4-D	unclassified	unclassified
ERY-1-I	unclassified	unclassified
ERY-2-H	unclassified	unclassified
ERY-3-C	unclassified	unclassified
ERY-4-C	unclassified	unclassified
MG1655-WT-2	unclassified	unclassified
CHL-1-F	unclassified	unclassified
CHL-2-H	unclassified	unclassified
CHL-3-H	unclassified	unclassified
CHL-4-C	unclassified	unclassified
KAN-1-E	unclassified	unclassified
KAN-2-C	unclassified	unclassified
KAN-3-F	unclassified	unclassified
KAN-4-D	unclassified	unclassified
SUL-1-I	unclassified	unclassified
SUL-2-H	unclassified	unclassified
SUL-3-I	unclassified	unclassified
SUL-4-F	unclassified	unclassified
CIP-1-A	unclassified	unclassified
CIP-1-H	unclassified	unclassified
CIP-1-HR	unclassified	unclassified
CIP-2-1	unclassified	unclassified
CIP-3-D	unclassified	unclassified
CIP-4-I	unclassified	unclassified
TMBE_2014_ET-1-J	unclassified	unclassified
TMBE_2014_ET-2-F	unclassified	unclassified
TMBE_2014_ET-3-G	unclassified	unclassified
TMBE_2014_ET-4-E	unclassified	unclassified
DOX-1-A	unclassified	unclassified
DOX-2-J	unclassified	unclassified
DOX-3-D	unclassified	unclassified
DOX-4-C	unclassified	unclassified
TOB-A-8	unclassified	unclassified
TOB-B-4	unclassified	unclassified
TOB-C-9	unclassified	unclassified
TOB-D-8	unclassified	unclassified
NAL-D-8	unclassified	unclassified
LEV-D-8	unclassified	unclassified
CEF-C-1	unclassified	unclassified
SMO-1-G	unclassified	unclassified
SMO-1-GR	unclassified	unclassified
SMO-2-C	unclassified	unclassified
SMO-3-D	unclassified	unclassified
SMO-4-C	unclassified	unclassified
LOM-1-D	unclassified	unclassified
LOM-1-I	unclassified	unclassified
LOM-2-G	unclassified	unclassified
LOM-3-H	unclassified	unclassified
LOM-4-A	unclassified	unclassified
NIT-1-J	unclassified	unclassified
NIT-2-A	unclassified	unclassified
NIT-3-B	unclassified	unclassified
NIT-4-A	unclassified	unclassified
PIP-A5	unclassified	unclassified
PIP-B7	unclassified	unclassified
PIP-C7	unclassified	unclassified
PIP-D7	unclassified	unclassified
CEF-A7	unclassified	unclassified
CEF-B8	unclassified	unclassified
CEF-C7	unclassified	unclassified
CEF-D7	unclassified	unclassified
NAL-A3	unclassified	unclassified
NAL-B8	unclassified	unclassified
NAL-C5	unclassified	unclassified
NAL-D1	unclassified	unclassified
TMP-A4	unclassified	unclassified
TMP-B4	unclassified	unclassified
TMP-C9	unclassified	unclassified
TMP-D9	unclassified	unclassified
FUS-A3	unclassified	unclassified
FUS-B2	unclassified	unclassified
FUS-C9	unclassified	unclassified
FUS-D9	unclassified	unclassified
AMK-A7	unclassified	unclassified
AMK-B1	unclassified	unclassified
AMK-C6	unclassified	unclassified
AMK-D4	unclassified	unclassified
AMP-A7	unclassified	unclassified
AMP-B9	unclassified	unclassified
AMP-C4	unclassified	unclassified
AMP-D10	unclassified	unclassified
SPT-A9	unclassified	unclassified
SPT-B8	unclassified	unclassified
SPT-C6	unclassified	unclassified
SPT-D7	unclassified	unclassified
STR-A6	unclassified	unclassified
STR-B8	unclassified	unclassified
STR-C2	unclassified	unclassified
STR-D7	unclassified	unclassified
AMP-R-B9	unclassified	unclassified
SPT-R-A9	unclassified	unclassified
groundwater microbail community	terrestrial	other_terrestrial_water
poplar nursery	terrestrial	land
microbial commmunity	unclassified	unclassified
terrestrial habitat	terrestrial	land
cropland (ENVO:01000245)	terrestrial	land
grass land	terrestrial_probable	land
from the farmer	unclassified	unclassified
PCB sediment	unclassified	unclassified
Constructed feature	unclassified	unclassified
EBPR Sludge	unclassified	unclassified
temperate region forest	terrestrial	land
Rhizospheric soil	terrestrial_probable	land
urinary tract	unclassified	unclassified
coal bed methane	unclassified	unclassified
terrestrial studies	terrestrial	land
B	unclassified	unclassified
C	unclassified	unclassified
ponderosa pine	terrestrial	other_terrestrial_water
Sewer system	unclassified	unclassified
ENVO:00010483)	unclassified	unclassified
intestinal microbiota	unclassified	unclassified
culture water	unclassified	other_terrestrial_water
surface waters	unclassified	other_terrestrial_water
ceacal	unclassified	unclassified
Intertidal zone	marine_and_terrestrial	unclassified
Inlet conventional	unclassified	unclassified
anaerobic biogasreactor	terrestrial_probable	land
marine biome(ENVO:00000447)	marine	unclassified
estuarine ecosystem	marine_and_terrestrial	unclassified
estuarine ecosystems	marine_and_terrestrial	unclassified
ENVO:00000426	unclassified	unclassified
Human Fecal	terrestrial_probable	unclassified
Marine Surface Coastal Sediments	marine_and_terrestrial	unclassified
agricultural_soil	terrestrial	land
Thermophilic methanogenic sludge	unclassified	unclassified
growth chamber	unclassified	unclassified
Currency	unclassified	unclassified
Farmland	terrestrial	unclassified
hog farm	unclassified	unclassified
Perturbed soil	terrestrial_probable	land
root nodule	unclassified	unclassified
chicken cecal contents	terrestrial	land
abalone seed nursing pond	terrestrial	freshwater
16S V1_V3	unclassified	unclassified
Sub tropical	unclassified	unclassified
Atta cephalotes ant nest	unclassified	unclassified
agricultral fields	unclassified	unclassified
deep sea water	marine	unclassified
ALP-producing bacterial community	unclassified	unclassified
permanent culture	unclassified	unclassified
permanent grassland	terrestrial	land
intensive grassland	terrestrial	land
wooded land grass patch	terrestrial	land
wooded land under tree	terrestrial	land
improved grassland	terrestrial	land
unimproved grassland	terrestrial	land
fertilized forest	terrestrial	land
short term abandoned agricultural land (grassland)	terrestrial	land
long term abandoned agricultural land (grassland)	terrestrial	land
unfertilized forest	terrestrial	land
coastal marine	marine_and_terrestrial	unclassified
watermelon soil	terrestrial_probable	unclassified
microcosm	unclassified	unclassified
Antarcitc coastal environment	marine_and_terrestrial	unclassified
alluvial_aquifer	terrestrial_probable	unclassified
mixed boreal/deciduous	terrestrial	land
WWTP	unclassified	unclassified
Public, seawater aquarium	marine	unclassified
soils of 1-3 years planted Panax notoginseng	terrestrial_probable	land
moisture adjustment	unclassified	unclassified
soil mescosms	terrestrial_probable	land
obtained in laboratory	terrestrial_probable	land
Temperate Grasslands, Savannas, and Shrublands	terrestrial	unclassified
Subtropical Division - Mountain Provinces (M230)	unclassified	unclassified
not collected bio1	unclassified	unclassified
not collected bio2	unclassified	unclassified
not collected bio3	unclassified	unclassified
not collected bio4	unclassified	unclassified
not collected bio5	unclassified	unclassified
not collected bio6	unclassified	unclassified
not collected bio7	unclassified	unclassified
not collected bio8	unclassified	unclassified
not collected bio9	unclassified	unclassified
not collected bio10	unclassified	unclassified
not collected bio11	unclassified	unclassified
not collected bio12	unclassified	unclassified
not collected bio13	unclassified	unclassified
not collected bio14	unclassified	unclassified
not collected bio15	unclassified	unclassified
not collected bio16	unclassified	unclassified
not collected bio17	unclassified	unclassified
not collected bio18	unclassified	unclassified
not collected bio19	unclassified	unclassified
not collected bio20	unclassified	unclassified
not collected bio21	unclassified	unclassified
not collected bio22	unclassified	unclassified
not collected bio23	unclassified	unclassified
not collected bio24	unclassified	unclassified
not collected bio25	unclassified	unclassified
not collected bio26	unclassified	unclassified
not collected bio27	unclassified	unclassified
not collected bio28	unclassified	unclassified
not collected bio29	unclassified	unclassified
not collected bio30	unclassified	unclassified
not collected bio31	unclassified	unclassified
not collected bio32	unclassified	unclassified
not collected bio33	unclassified	unclassified
not collected bio34	unclassified	unclassified
not collected bio35	unclassified	unclassified
not collected bio36	unclassified	unclassified
freshwater habitats	terrestrial	freshwater
lab incubation	unclassified	unclassified
microbial community of an anodic biofilm in a membraneless methanogenic microbial electrolysis cell inoculated with bog sediment	unclassified	other_terrestrial_water
temperate broadleaf	unclassified	unclassified
cell culture	unclassified	unclassified
collected from an infected poplar crop	terrestrial	land
microbial community of a cathodic biofilm in a membraneless methanogenic microbial electrolysis cell inoculated with bog sediment	unclassified	other_terrestrial_water
urban park land	terrestrial	land
microbial community in bog sediment	unclassified	other_terrestrial_water
planktotic microorganisms in the electrolyte of a membraneless methanogenic microbial electrolysis cell inoculated with bog sediment	unclassified	other_terrestrial_water
microbial community of an anodic biofilm in a membraneless methanogenic microbial electrolysis cell inoculated with anaerobic digester sludge	terrestrial_probable	land
microbial community in anaerobic digester sludge (2nd digester)	terrestrial_probable	land
microbial community of a cathodic biofilm in a membraneless methanogenic microbial electrolysis cell inoculated with anaerobic digester sludge	terrestrial_probable	land
planktotic microorganisms in the electrolyte of a membraneless methanogenic microbial electrolysis cell inoculated with anaerobic digester sludge	terrestrial_probable	land
kimchi(food)	unclassified	unclassified
water distribution sytem	unclassified	other_terrestrial_water
water supply network	unclassified	other_terrestrial_water
freshwater meromictic	terrestrial	freshwater
rabbit	unclassified	unclassified
Temperate woodland biome	terrestrial	land
Sea coast	marine_and_terrestrial	unclassified
wild poplar	terrestrial	land
Sod-podzolic soil	terrestrial_probable	land
normal soil	terrestrial_probable	land
excess sludge	unclassified	unclassified
Pig Farm	terrestrial	unclassified
Anaerobic digestor	unclassified	unclassified
continuous culture	unclassified	unclassified
tomato field	terrestrial	land
Temperate grassland	terrestrial	land
chemostat	unclassified	unclassified
Soil-associated habitat	terrestrial_probable	unclassified
Wild poplar	terrestrial	land
Poplar nursery	terrestrial	unclassified
bio-drying	unclassified	unclassified
Tick-associated habitat	unclassified	unclassified
dairy product(ENVO:01000011)	terrestrial	land
house	unclassified	unclassified
Rice Paddy	terrestrial	unclassified
ocean water	marine	other_terrestrial_water
Wastewater reactor	terrestrial_probable	other_terrestrial_water
cave system	unclassified	unclassified
Greenhouse Soil	terrestrial	unclassified
wetland/Aquatic biome	terrestrial	freshwater
Salt from salterns	unclassified	unclassified
missing&apos;	unclassified	unclassified
Sea salt	marine	unclassified
Coarse iodized sea salt	marine	unclassified
Salt from a salt lake	terrestrial	other_terrestrial_water
Sea salt blended with activated charcoal	marine	unclassified
Salt from salterns filled with salty waters from a spring	unclassified	other_terrestrial_water
Fecal material	unclassified	unclassified
industrial wastewate treatment plant (ENVO:2000002)	unclassified	unclassified
House	unclassified	unclassified
Fecal microbiome	unclassified	unclassified
Gastrointestinal microbiome	unclassified	unclassified
Chaparral and Yucca, slope on hill, completely open, dry, 50 degree slope, on limestone.	terrestrial	land
drinking water distribution system	terrestrial	other_terrestrial_water
sample-1-2	unclassified	unclassified
sample-1-4	unclassified	unclassified
sample-1-6	unclassified	unclassified
sample-2-1	unclassified	unclassified
sample-2-3	unclassified	unclassified
sample-2-5	unclassified	unclassified
sample-3-2	unclassified	unclassified
sample-3-4	unclassified	unclassified
sample-3-6	unclassified	unclassified
sample-4-1	unclassified	unclassified
sample-4-3	unclassified	unclassified
sample-4-5	unclassified	unclassified
sample-5-2	unclassified	unclassified
sample-5-4	unclassified	unclassified
sample-5-6	unclassified	unclassified
sample-6-1	unclassified	unclassified
sample-6-3	unclassified	unclassified
sample-6-5	unclassified	unclassified
sample-7-2	unclassified	unclassified
sample-7-4	unclassified	unclassified
sample-7-6	unclassified	unclassified
sample-8-1	unclassified	unclassified
sample-8-3	unclassified	unclassified
sample-8-5	unclassified	unclassified
sample-9-2	unclassified	unclassified
sample-9-4	unclassified	unclassified
sample-9-6	unclassified	unclassified
sample-10-1	unclassified	unclassified
sample-10-3	unclassified	unclassified
sample-10-5	unclassified	unclassified
sample-11-2	unclassified	unclassified
sample-11-4	unclassified	unclassified
sample-11-6	unclassified	unclassified
sample-12-1	unclassified	unclassified
sample-12-3	unclassified	unclassified
sample-12-5	unclassified	unclassified
sample-13-2	unclassified	unclassified
sample-13-4	unclassified	unclassified
sample-13-6	unclassified	unclassified
sample-14-1	unclassified	unclassified
sample-14-3	unclassified	unclassified
sample-14-5	unclassified	unclassified
sample-15-2	unclassified	unclassified
sample-15-4	unclassified	unclassified
sample-15-6	unclassified	unclassified
sample-16-1	unclassified	unclassified
sample-16-3	unclassified	unclassified
sample-16-5	unclassified	unclassified
sample-17-4	unclassified	unclassified
Hospital surface biome	unclassified	unclassified
methanogenic microbial electrolysis cell	unclassified	unclassified
Ocean Reef	marine	unclassified
anaerobic digester sludge (2nd digester)	terrestrial_probable	land
human peridontal picket	terrestrial_probable	land
Rock outcrop in deciduous woodland	terrestrial	land
mediterranean sea biome(ENVO:01000047)	marine	unclassified
Pristine andean lakes	terrestrial	freshwater
Overgrowing marl outcrops near stream	terrestrial	land
monsoon climate	unclassified	unclassified
Domestic wastewater sediments	terrestrial_probable	other_terrestrial_water
clay loam soil	terrestrial_probable	land
populated place	unclassified	unclassified
Agricultural soil growing corn	terrestrial	unclassified
Rotting bagasse from Louisiana	unclassified	unclassified
sediments of lake	terrestrial	freshwater
Temperate Broadleaf and Mixed Forest	terrestrial	unclassified
Desert and Xeric Shrublands	terrestrial	unclassified
endophytic fungal	unclassified	unclassified
seawater and sewage	marine	unclassified
Mountain Pinus contorta forest	terrestrial	land
Tropical Moist Broadleaf Forest	terrestrial	unclassified
Low -DO Chemostat	unclassified	unclassified
High-DO Chemostat	unclassified	unclassified
tropical river	terrestrial	freshwater
cultivated cropland	terrestrial	land
Coast Pinus muricata forest	marine_and_terrestrial	unclassified
Coast Pinus contorta forest	marine_and_terrestrial	unclassified
Coast Pinus elliottii	marine_and_terrestrial	unclassified
marine cold seep	marine	unclassified
Methane seep	unclassified	unclassified
Rice paddy soil	terrestrial	land
Sea Water	marine	other_terrestrial_water
Urine Microbiome	unclassified	unclassified
ground water	terrestrial	other_terrestrial_water
insectary	unclassified	unclassified
Drinking water treatment	terrestrial	other_terrestrial_water
Suburban	unclassified	unclassified
Bromeliad	unclassified	unclassified
Mangrove Forest	marine_and_terrestrial	unclassified
Swamp	unclassified	unclassified
Marsh	terrestrial	unclassified
HotSpring	unclassified	unclassified
Dry Forest	terrestrial	unclassified
Dry Farm	unclassified	unclassified
Alpine Forest	terrestrial	unclassified
Temperate field	unclassified	unclassified
cave environment	unclassified	unclassified
anthropogenic terrestrial biome (ENVO:01000219). A laboratory Spodoptera frugiperda colony was established from field specimens collected from a maize (Zea mays) field belonging to the Tucuman National University in El Manantial locality (Lules department, Tucuman province; 495 above sea level; 26 49 50 S; 65 16 59,4 W). Collected larvae were then reared for 9 generations under controlled photoperiod, temperature and humidity conditions on an artificial diet made of white bean, essential nutrients and preservatives, without the addition of antibiotics, adapted from Murua and Virla (2003).	marine	unclassified
xeric climate	terrestrial	land
Desert, later-developed biocrusts	terrestrial	unclassified
laboratory thiamethoxam resistant breed	terrestrial_probable	land
laboratory susceptible breed	terrestrial_probable	land
laboratory spirotetramat resistant breed	terrestrial_probable	land
Bacteria wilted tomato plant form foot hills of Haldwani, Nainital	terrestrial	land
Originally from infected human host	terrestrial_probable	land
Forest Soil	terrestrial	unclassified
sample-AB09	unclassified	unclassified
sample-AS09	unclassified	unclassified
sample-BB09	unclassified	unclassified
sample-BS09	unclassified	unclassified
sample-CB09	unclassified	unclassified
sample-CS09	unclassified	unclassified
sample-DB09	unclassified	unclassified
sample-DS09	unclassified	unclassified
sea floor	marine	unclassified
stream sediment	terrestrial	freshwater
Culture	unclassified	unclassified
soybean field	terrestrial	land
aerobic bioreactor(ENVO:00002126)	terrestrial_probable	land
Stool microbiome	unclassified	unclassified
WWTP activated sludge	unclassified	unclassified
residential	unclassified	unclassified
Desert, no biocrusts	terrestrial	unclassified
Desert, early-developed biocrusts	terrestrial	unclassified
cave stream	unclassified	other_terrestrial_water
Cave stream	unclassified	other_terrestrial_water
ENVO:01000058	unclassified	unclassified
rock reef	marine	unclassified
submarine cave	marine	unclassified
River sludge	terrestrial	freshwater
Bay	marine_and_terrestrial	unclassified
human metagenome	terrestrial_probable	land
Hyperalkaline springs	unclassified	unclassified
experimental field	unclassified	unclassified
Atlantic Florest	unclassified	unclassified
surface sediments	unclassified	unclassified
rhizosphere sediments	terrestrial_probable	unclassified
anode biofilm	unclassified	unclassified
Solid waste	unclassified	unclassified
freshwater wetland patches	terrestrial	freshwater
sugarcane	terrestrial	land
prealps grassland	terrestrial	land
temperate soil	terrestrial_probable	land
CK_1	unclassified	unclassified
CK_2	unclassified	unclassified
CK_3	unclassified	unclassified
CK_F_1	unclassified	unclassified
CK_F_2	unclassified	unclassified
CK_F_3	unclassified	unclassified
W_NF_1	unclassified	unclassified
W_NF_2	unclassified	unclassified
W_NF_3	unclassified	unclassified
W_F_1	unclassified	unclassified
W_F_2	unclassified	unclassified
W_F_3	unclassified	unclassified
brain	unclassified	unclassified
Pig brain	terrestrial	unclassified
Pig colon	terrestrial	unclassified
Pig nasal cavity	terrestrial	unclassified
Pig stomach	terrestrial	unclassified
University campus	unclassified	unclassified
cultivated habitat	terrestrial	land
Baker	unclassified	unclassified
Oak trees	terrestrial	land
Clinical	unclassified	unclassified
Lab	unclassified	unclassified
Wine	terrestrial	unclassified
Sake	unclassified	unclassified
